source,target,weight,Class,source-title,target-title,source-publisher, target-publisher,source-time,target-time,from-pub-uri,to-pub-uri,source-url, target-url
English982,English970,1,Information-Propagated,In this polar vortex- talk won't warm 'hearths and hearts',Ocean mixing that drives climate found in surprise location,USA Today,Daily Mail Online,2019-01-31T23:23:00Z,2019-01-31T23:55:00Z,usatoday.com,dailymail.co.uk,http://www.usatoday.com/story/opinion/2019/01/31/polar-vortex-talk-warm-hearths-and-hearts-editorials-debates/2737177002/,https://www.dailymail.co.uk/sciencetech/article-6654619/Ocean-mixing-drives-climate-surprise-location.html
English983,English936,0.265,Information-Not-Propagated,Iowa Sen. Ernst expresses frustration with King comments,Feds to investigate spike in gray whale deaths on West Coast,The Seattle Times,KRON 4 News,2019-01-31T23:20:00Z,2019-05-31T22:10:00Z,seattletimes.com,kron4.com,https://www.seattletimes.com/nation-world/nation/iowa-sen-ernst-expresses-frustration-with-king-comments/,https://www.kron4.com/news/california/feds-to-investigate-spike-in-gray-whale-deaths-on-west-coast-1/2043033291
English984,English972,0.333,Information-Not-Propagated,Crucial climate current surprise,Warming Arctic On Thin Ice,Stuff,Scientific American,2019-01-31T23:17:00Z,2019-01-31T23:44:00Z,stuff.co.nz,scientificamerican.com,http://www.stuff.co.nz/world/110306987/Ocean-mixing-that-drives-climate-found-in-surprise-location,https://www.scientificamerican.com/podcast/episode/warming-arctic-on-thin-ice/
English985,English971,0.781,Information-Propagated,Zali's Maitland connection,Man accused in Super Bowl ticket scam goes missing,The Maitland Mercury,The Seattle Times,2019-01-31T23:17:00Z,2019-01-31T23:54:00Z,maitlandmercury.com.au,seattletimes.com,https://www.maitlandmercury.com.au/story/5880414/zalis-maitland-connection/,https://www.seattletimes.com/nation-world/nation/man-accused-in-super-bowl-ticket-scam-goes-missing/
English986,English8,0.28,Information-Not-Propagated,Rep. Chellie Pingree invites whistleblower to State of the Union - Portland Press Herald,Letters (April 29- 2020),Portland Press Herald,Micah Jakob,2019-01-31T23:12:00Z,2020-04-29T06:47:00Z,pressherald.com,theava.com,https://www.pressherald.com/2019/01/31/rep-chellie-pingree-invites-whistleblower-to-state-of-the-union/,https://www.theava.com/archives/124670
English987,English936,0.298,Information-Not-Propagated,Suspect in killing of Lyft driver booked into a Phoenix jail,Feds to investigate spike in gray whale deaths on West Coast,The Seattle Times,KRON 4 News,2019-01-31T23:11:00Z,2019-05-31T22:10:00Z,seattletimes.com,kron4.com,https://www.seattletimes.com/nation-world/nation/suspect-in-killing-of-lyft-driver-booked-into-a-phoenix-jail/,https://www.kron4.com/news/california/feds-to-investigate-spike-in-gray-whale-deaths-on-west-coast-1/2043033291
English988,English979,0.31,Information-Not-Propagated,The US is suffering through a polar vortex. Paradoxically- we may have global warming to thank for that.,Trump's intelligence chiefs contradicted him on live TV. Naturally he's blaming the media.,Business Insider,Mother Jones,2019-01-31T23:11:00Z,2019-01-31T23:31:00Z,businessinsider.com,motherjones.com,https://www.businessinsider.com/polar-vortex-hitting-us-might-be-connected-to-global-warming-2019-1,https://www.motherjones.com/politics/2019/01/trumps-intelligence-chiefs-contradicted-him-on-live-tv-naturally-hes-blaming-the-media/
English989,English982,1,Information-Propagated,Ex-NYPD official gets 18 months prison in gun license scam,In this polar vortex- talk won't warm 'hearths and hearts',The Seattle Times,USA Today,2019-01-31T23:11:00Z,2019-01-31T23:23:00Z,seattletimes.com,usatoday.com,https://www.seattletimes.com/nation-world/nation/ex-nypd-official-gets-18-months-prison-in-gun-license-scam/,http://www.usatoday.com/story/opinion/2019/01/31/polar-vortex-talk-warm-hearths-and-hearts-editorials-debates/2737177002/
English99,English11,0.871,Information-Propagated,Callander seeks time capsule items,All signs point to an active hurricane season,North Bay Nugget,Mashable Middle East,2017-11-30T18:07:00Z,2020-04-29T06:09:00Z,nugget.ca,me.mashable.com,http://www.nugget.ca/2017/11/30/callander-seeks-time-capsule-items,https://me.mashable.com/science/10106/all-signs-point-to-an-active-hurricane-season
English990,English984,0.406,Unsure,Lawsuit challenges school's policy about passing out Bibles,Crucial climate current surprise,The Seattle Times,Stuff,2019-01-31T23:11:00Z,2019-01-31T23:17:00Z,seattletimes.com,stuff.co.nz,https://www.seattletimes.com/nation-world/nation/lawsuit-challenges-schools-policy-about-passing-out-bibles/,http://www.stuff.co.nz/world/110306987/Ocean-mixing-that-drives-climate-found-in-surprise-location
English991,English984,0.342,Information-Not-Propagated,Lawyers: $6.5 million to settle false arrest claim,Crucial climate current surprise,The Seattle Times,Stuff,2019-01-31T22:55:00Z,2019-01-31T23:17:00Z,seattletimes.com,stuff.co.nz,https://www.seattletimes.com/nation-world/nation/lawyers-6-5-million-to-settle-false-arrest-claim/,http://www.stuff.co.nz/world/110306987/Ocean-mixing-that-drives-climate-found-in-surprise-location
English992,English990,0.346,Information-Not-Propagated,Huge cavity in bottom of Antarctic glacier signals rapid decay,Lawsuit challenges school's policy about passing out Bibles,Digital Journal,The Seattle Times,2019-01-31T22:47:00Z,2019-01-31T23:11:00Z,digitaljournal.com,seattletimes.com,http://www.digitaljournal.com/tech-and-science/science/huge-cavity-in-bottom-of-antarctic-glacier-signals-rapid-decay/article/542222,https://www.seattletimes.com/nation-world/nation/lawsuit-challenges-schools-policy-about-passing-out-bibles/
English993,English8,0.192,Information-Not-Propagated,Julius Campbell- of 'Remember the Titans' team- dies at 65,Letters (April 29- 2020),The Seattle Times,Micah Jakob,2019-01-31T22:45:00Z,2020-04-29T06:47:00Z,seattletimes.com,theava.com,https://www.seattletimes.com/nation-world/nation/julius-campbell-of-remember-the-titans-team-dies-at-65/,https://www.theava.com/archives/124670
English994,English992,0.305,Information-Not-Propagated,Cold snaps will persist even with global warming- experts sa...,Huge cavity in bottom of Antarctic glacier signals rapid decay,Park Rapids Enterprise,Digital Journal,2019-01-31T22:28:00Z,2019-01-31T22:47:00Z,parkrapidsenterprise.com,digitaljournal.com,https://www.parkrapidsenterprise.com/news/weather/4564734-cold-snaps-will-persist-even-global-warming-experts-say,http://www.digitaljournal.com/tech-and-science/science/huge-cavity-in-bottom-of-antarctic-glacier-signals-rapid-decay/article/542222
English995,English936,0.233,Information-Not-Propagated,Are school districts going 'soft'? Cold spell stirs debate,Feds to investigate spike in gray whale deaths on West Coast,The Seattle Times,KRON 4 News,2019-01-31T22:16:00Z,2019-05-31T22:10:00Z,seattletimes.com,kron4.com,https://www.seattletimes.com/nation-world/nation/are-school-districts-going-soft-cold-spell-stirs-debate/,https://www.kron4.com/news/california/feds-to-investigate-spike-in-gray-whale-deaths-on-west-coast-1/2043033291
